Date,NFCI
2017-11-24,-0.60751
2017-12-01,-0.60855
2017-12-08,-0.60979
2017-12-15,-0.61247
2017-12-22,-0.61628
2017-12-29,-0.61991
2018-01-05,-0.62356
2018-01-12,-0.62355
2018-01-19,-0.61908
2018-01-26,-0.61014
2018-02-02,-0.59635
2018-02-09,-0.57859
2018-02-16,-0.56282
2018-02-23,-0.54789
2018-03-02,-0.53345
2018-03-09,-0.52023
2018-03-16,-0.50966
2018-03-23,-0.50206
2018-03-30,-0.50037
2018-04-06,-0.50392
2018-04-13,-0.51395
2018-04-20,-0.52822
2018-04-27,-0.54175
2018-05-04,-0.55377
2018-05-11,-0.563
2018-05-18,-0.56789
2018-05-25,-0.5675
2018-06-01,-0.56253
2018-06-08,-0.55665
2018-06-15,-0.54971
2018-06-22,-0.5438
2018-06-29,-0.54058
2018-07-06,-0.54179
2018-07-13,-0.54729
2018-07-20,-0.55539
2018-07-27,-0.56463
2018-08-03,-0.57389
2018-08-10,-0.58307
2018-08-17,-0.59015
2018-08-24,-0.59603
2018-08-31,-0.60013
2018-09-07,-0.60237
2018-09-14,-0.60276
2018-09-21,-0.60021
2018-09-28,-0.59588
2018-10-05,-0.5892
2018-10-12,-0.57921
2018-10-19,-0.56797
2018-10-26,-0.55441
2018-11-02,-0.53909
2018-11-09,-0.52293
2018-11-16,-0.50338
2018-11-23,-0.48198
2018-11-30,-0.46162
2018-12-07,-0.44242
2018-12-14,-0.42899
2018-12-21,-0.42298
2018-12-28,-0.42644
2019-01-04,-0.43958
2019-01-11,-0.45972
2019-01-18,-0.48345
2019-01-25,-0.50801
2019-02-01,-0.53206
2019-02-08,-0.55271
2019-02-15,-0.57009
2019-02-22,-0.58345
2019-03-01,-0.59243
2019-03-08,-0.59766
2019-03-15,-0.60154
2019-03-22,-0.60548
2019-03-29,-0.60824
2019-04-05,-0.61239
2019-04-12,-0.61573
2019-04-19,-0.61781
2019-04-26,-0.61692
2019-05-03,-0.61359
2019-05-10,-0.60681
2019-05-17,-0.59857
2019-05-24,-0.59045
2019-05-31,-0.5824
2019-06-07,-0.57695
2019-06-14,-0.57475
2019-06-21,-0.57457
2019-06-28,-0.57687
2019-07-05,-0.58089
2019-07-12,-0.5829
2019-07-19,-0.58282
2019-07-26,-0.57964
2019-08-02,-0.572
2019-08-09,-0.56123
2019-08-16,-0.5497
2019-08-23,-0.53945
2019-08-30,-0.52993
2019-09-06,-0.52287
2019-09-13,-0.51722
2019-09-20,-0.51293
2019-09-27,-0.5127
2019-10-04,-0.51611
2019-10-11,-0.52442
2019-10-18,-0.53684
2019-10-25,-0.55085
2019-11-01,-0.56313
2019-11-08,-0.57299
2019-11-15,-0.57833
2019-11-22,-0.57842
2019-11-29,-0.57343
2019-12-06,-0.56429
2019-12-13,-0.55647
2019-12-20,-0.55211
2019-12-27,-0.55654
2020-01-03,-0.56953
2020-01-10,-0.58955
2020-01-17,-0.61123
2020-01-24,-0.62509
2020-01-31,-0.62348
2020-02-07,-0.59824
2020-02-14,-0.53868
2020-02-21,-0.43815
2020-02-28,-0.29803
2020-03-06,-0.13476
2020-03-13,0.03395
2020-03-20,0.18161
2020-03-27,0.27552
2020-04-03,0.31444
2020-04-10,0.3007
2020-04-17,0.2445
2020-04-24,0.16506
2020-05-01,0.06648
2020-05-08,-0.03423
2020-05-15,-0.12547
2020-05-22,-0.20588
2020-05-29,-0.26971
2020-06-05,-0.31641
2020-06-12,-0.34623
2020-06-19,-0.36879
2020-06-26,-0.38697
2020-07-03,-0.40415
2020-07-10,-0.42283
2020-07-17,-0.44181
2020-07-24,-0.46109
2020-07-31,-0.47883
2020-08-07,-0.49271
2020-08-14,-0.50306
2020-08-21,-0.50917
2020-08-28,-0.51107
2020-09-04,-0.50871
2020-09-11,-0.50411
2020-09-18,-0.50012
2020-09-25,-0.49427
2020-10-02,-0.49103
2020-10-09,-0.49114
2020-10-16,-0.4936
2020-10-23,-0.49949
2020-10-30,-0.50798
2020-11-06,-0.52161
2020-11-13,-0.53839
2020-11-20,-0.55462
2020-11-27,-0.56925
2020-12-04,-0.58218
2020-12-11,-0.59242
2020-12-18,-0.59981
2020-12-25,-0.60604
2021-01-01,-0.61133
2021-01-08,-0.61585
2021-01-15,-0.61853
2021-01-22,-0.62052
2021-01-29,-0.62085
